g/sigma,td,td_max,td_min
0.0,0.07312554123544968,0.07312554123544968,0.07312554123544968
0.031621163318178845,0.03620940158687537,0.03764402172015468,0.03480335682876864
0.06324232663635769,0.01596774053604733,0.016781326514346454,0.015174688009462827
0.09486348995453653,0.014529885231364873,0.015172848909184482,0.01390942277057896
0.12648465327271538,0.015655569585377657,0.016470603637601555,0.014851400704984427
0.15810581659089423,0.016834975110694348,0.017843745505066167,0.01584898035966626
0.18972697990907306,0.017604095277319827,0.018754100080159694,0.016531018343951993
0.2213481432272519,0.017826265139390306,0.019064049322966563,0.01667201357874729
0.25296930654543076,0.017542592736279373,0.018843807467977407,0.01633300057426859
0.2845904698636096,0.01691816973203557,0.0182197553939526,0.015717302328763193
0.31621163318178847,0.016186803417382958,0.017426077620857308,0.015039427435346552
0.3478327964999673,0.015579033172073282,0.016727012859757195,0.014490206609185135
0.3794539598181461,0.015254488955776992,0.016326960266419173,0.014211177371153096
0.41107512313632494,0.015295284339854952,0.016317335014185953,0.014326933837057689
0.4426962864545038,0.015703626693094594,0.01670556154753749,0.014779810433717398
0.47431744977268264,0.01644281336855677,0.017440467394521278,0.015524310417753673
0.5059386130908615,0.017412338557458606,0.01838773991944335,0.016467982636683517
0.5375597764090404,0.01860097209740759,0.0195601187169765,0.0175861679203757
0.5691809397272192,0.020127730396859254,0.021206075340656615,0.019076243201000646
0.600802103045398,0.022044395259657765,0.02319891159657564,0.02091654884397339
0.6324232663635769,0.024778963969029053,0.0260879482178398,0.023531909611285564
0.6640444296817557,0.026655501110143826,0.02797825616333557,0.025408846747362726
0.6956655929999346,0.027383933578220384,0.028780792662228175,0.02617421900948483
0.7272867563181133,0.032775721562219015,0.035042777128941355,0.030552559833786498
0.7589079196362922,0.03846427764647184,0.03992850545754524,0.036668324936663145
0.7905290829544711,0.04529539110496196,0.047363966321305,0.0432395299142112
0.8221502462726499,0.048166570095522436,0.05083865529587149,0.04516645084990875
0.8537714095908288,0.05046945925715364,0.05383685551932285,0.047212775546014905
0.8853925729090076,0.052294391824130544,0.05677046658571551,0.048659911726287704
0.9170137362271864,0.05369931099020375,0.05769444625341397,0.050455874986732534
0.9486348995453653,0.054961055571012905,0.05892904284293215,0.05096961335264231
0.9802560628635442,0.055958477901893205,0.06056755656455347,0.05207740755472536
1.011877226181723,0.0568334458596558,0.061318529088548054,0.052446610448257665
1.0434983894999017,0.05759679574856234,0.06281719195921104,0.05275433004361927
1.0751195528180808,0.058263833792453514,0.06259758576814357,0.0535494346592244
1.1067407161362595,0.058875048507234184,0.06314814186086425,0.05397398470771992
1.1383618794544383,0.05972004177767747,0.0632623261664155,0.05587226597565348
1.169983042772617,0.055418398156897,0.056212937582817556,0.05478566415274163
1.201604206090796,0.060534325527760564,0.06376505818937654,0.05692845375718073
1.233225369408975,0.06064508621397905,0.06558880017844827,0.05546968933675144
1.2648465327271539,0.0610497287858524,0.0658307072079789,0.05527390040653713
1.2964676960453325,0.061372902104518776,0.0660376667780615,0.05566125816504199
1.3280888593635114,0.06163926305321235,0.0666470919242416,0.05613578764689634
1.35971002268169,0.061860850519377925,0.0667611187138677,0.05647056648599716
1.3913311859998692,0.0621554342995668,0.06685261547052573,0.05625805436713276
1.422952349318048,0.0624311006928728,0.06764731915567238,0.05747882104167986
1.4545735126362267,0.06257035164097495,0.06796790620056695,0.05727544379937347
1.4861946759544056,0.06268306584086919,0.06806623930884054,0.05654451287356396
1.5178158392725845,0.06297473505034128,0.06808433544237812,0.056848456455610666
1.5494370025907631,0.06309055165786748,0.06812745584630314,0.05726213204526234
1.5810581659089422,0.06353524986991368,0.06824372421823664,0.05782448063822072
1.612679329227121,0.06330468624601483,0.06868542339374151,0.05748352087838209
1.6443004925452998,0.06354857998914931,0.06842446345246884,0.05733974830652023
1.6759216558634786,0.06380964493409397,0.0691127990476089,0.05847121591191221
1.7075428191816575,0.06384999526076478,0.06917479469858609,0.05805476281185441
1.7391639824998362,0.06395132399375254,0.06936065855563024,0.0577787956685358
1.7707851458180153,0.06410736242828448,0.0686454908933609,0.05854311862329358
1.8024063091361942,0.06929776828467013,0.0701193249472863,0.06873347030160354
1.8340274724543728,0.06419779968539975,0.06867744127953872,0.058881906298338636
1.8656486357725517,0.06430005245515112,0.06975752685524822,0.05797297731561179
1.8972697990907306,0.06441587311774341,0.06984114649756315,0.0583930926016295
1.9288909624089092,0.0647736960906581,0.07016662739405724,0.06039085060994766
1.9605121257270883,0.06456073749340475,0.06994711702262377,0.05802905923301728
1.9921332890452672,0.0645633233467907,0.07025147449051175,0.05823983299342936
2.023754452363446,0.06487694542181344,0.07017670675723119,0.05876022656999613
2.055375615681625,0.0646667198266545,0.07035441442779786,0.05801497738886346
2.0869967789998034,0.064757515811902,0.07031192421558721,0.057886751435235924
2.1186179423179827,0.06484959549599092,0.06917255285975667,0.05931305288866779
2.1502391056361616,0.06490331113928627,0.070667157753527,0.05847593423508886
2.18186026895434,0.06502108831570709,0.07061416328245744,0.05891401181684
2.213481432272519,0.06494041703802512,0.07069973715215931,0.05855437750024296
2.2451025955906982,0.06512002420259401,0.0706395522394048,0.05978611602573664
2.2767237589088767,0.06514232222618646,0.07057139959786152,0.05864814436809165
2.3083449222270556,0.06510790301117607,0.07087833972602155,0.058655708080058856
2.339966085545234,0.06514411772158332,0.07079930075111979,0.05836798365770462
2.3715872488634133,0.065228336451091,0.07067808841169904,0.05882743236736719
2.403208412181592,0.06498305037475108,0.06846886116182369,0.061308080973661264
2.4348295754997706,0.06455213525168818,0.06707313962683552,0.06200942442624155
2.46645073881795,0.0652639219768332,0.07088217873754458,0.05875657844028922
2.4980719021361284,0.06537927878801462,0.07109176620857402,0.058283029665252825
2.5296930654543077,0.06530466166607206,0.07101700104607217,0.05865707198450151
2.561314228772486,0.0653330541402387,0.07093487662684596,0.05900186972176809
2.592935392090665,0.06544982990807735,0.07138431587154542,0.058978905035079576
2.6245565554088444,0.06539182530863034,0.0712722958622676,0.05879285596435625
2.656177718727023,0.06545347493901336,0.07117604950233455,0.05877210003812368
2.6877988820452017,0.0654983032811931,0.07139639243607167,0.05869299404881209
2.71942004536338,0.0655372305192,0.0709563148239218,0.058858424327999606
2.7510412086815594,0.06562050691110957,0.07139186425918571,0.05872743991627478
2.7826623719997383,0.06560174695328855,0.07146431047421554,0.058838084779423566
2.8142835353179168,0.06560623125077886,0.07156374191411534,0.0588674537172429
2.845904698636096,0.06587341955187491,0.07157997846052327,0.05932621400695041
2.8775258619542745,0.0656712032491321,0.07129259892998459,0.05862694399096385
2.9091470252724534,0.06573689192454249,0.07144968351150532,0.05946425913500345
2.9407681885906323,0.06569664319227779,0.07146156074470138,0.05907516483105585
2.972389351908811,0.06569578195452745,0.07164444827898753,0.05886674202990134
3.0040105152269905,0.06605935466127656,0.07082218343495544,0.06019751559981795
3.035631678545169,0.06813053936804192,0.06916866687859834,0.06716296517244474
3.067252841863348,0.06576085635464185,0.0704849346133209,0.06023762784166666
3.0988740051815262,0.06579753911355844,0.07172607471936701,0.058948389520552494
3.1304951684997055,0.0658621128631231,0.07175116134335892,0.05934710934658801
